id,name,description
1,WH- Questions: Complete Guide,"Master all WH- question words: What, Who, Where, When, Why, Which, Whose, How. Includes all forms and common mistakes."
2,Modal Verbs: The Probability Scale,"Learn to express certainty from 0% to 100% using can, could, may, might, should, must, will, would. Includes permission, advice, requests."
3,Modal Perfect: Past Modals,"Express past regrets, deductions, and possibilities using should have, could have, might have, must have."
4,Present Tenses: Simple vs Continuous,"Master the difference between Simple Present (routines, facts) and Present Continuous (actions in progress, temporary situations)."
5,Stative Verbs & Special ""To Be"","Learn which verbs never take continuous form and how ""being"" expresses temporary behavior."
6,Past Tenses: Simple Past,"Regular and irregular verbs in Simple Past with all spelling rules and pronunciation."
7,Past Tenses: Past Continuous,"Use was/were + -ing for interrupted actions, simultaneous actions, and scene setting."
8,Past Tenses: Past Participle & Perfect,"Master the past participle with have/has/had for perfect tenses and passive voice."
9,Deadly Traps: Lie vs Lay, Hang, Sneak,"Learn the most confusing verb pairs that even native speakers get wrong."
10,Present Perfect vs Past Simple,"Distinguish between past actions with present relevance and completed past actions."
11,Prepositions: TO vs FOR,"Master when to use TO (direction, transfer) vs FOR (benefit, duration, purpose)."
12,Quantifiers: MUCH, MANY, A LOT OF,"Learn countable vs uncountable nouns and natural substitutes for affirmatives."
13,Phrasal Verbs: LOOK FOR vs LOOK FORWARD TO,"Two essential phrasal verbs with completely different structures."
14,Cause and Effect Connectors,"Master because, so, therefore, as a result, without, when for logical explanations."
15,Sequencing Language for Processes,"Learn first, then, after that, next, finally and time clauses (before, after, while, during)."
16,The Physics of AI Creation - Diffusion Models,"Technical vocabulary about how AI generates images from noise."
17,The Physics of AI Creation - CLIP System,"How AI connects words to pictures using vectors and contrastive learning."
18,The Physics of AI Creation - Guidance & Negative Prompting,"Classifier-Free Guidance, Alpha value, and telling AI what NOT to draw."
19,Possessive and Demonstrative Adjectives,"Complete guide to my/your/his/her/its/our/their and this/that/these/those with Portuguese comparisons."
20,Born in the USA - Song Analysis,"Cultural analysis of Springsteen's misunderstood protest song about Vietnam veterans."
21,Learning to Fly - Song Analysis,"Pink Floyd's metaphor for fear, leadership, and overcoming impossible odds."
22,Presentation Skills: Key Phrases,"Essential phrases for openings, hooks, transitions, Q&A, and closings in English presentations."
23,Presentation Skills - Key Vocabulary for A2-B1,"Essential vocabulary for successful presentations: hook, show of hands, wrap up, switch gears, etc."
24,Advanced Vocabulary 1: Academic Words,"High-frequency academic vocabulary for TOEFL, IELTS, and university studies. Words like analyze, significant, concept."
25,Advanced Vocabulary 2: Descriptive & Literary,"Rich descriptive language for essays and creative writing. Words like meticulous, tenacious, eloquent, ephemeral."
26,Idioms & Expressions for Fluency,"Common idiomatic expressions used in native speech and proficiency exams. Break the ice, hit the nail on the head."
27,Phrasal Verbs for Proficiency,"Essential phrasal verbs that frequently appear in Cambridge, TOEFL, and IELTS. Account for, bring about, come up with."
28,Word Families: Noun/Verb/Adjective/Adverb,"Expand vocabulary by learning word families and derivation patterns. Analyze/analysis/analytical/analytically."
29,Confusing Word Pairs (Common Exam Traps),"Distinguish between affect/effect, complement/compliment, elicit/illicit, eminent/imminent."
30,Collocations for Natural English,"Common word pairings that sound natural to native speakers. Make a decision, take responsibility, pay attention."
31,Business & Professional Vocabulary,"Key terms for workplace communication and business English exams (BEC). Synergy, leverage, benchmark, streamline."
32,Linking Words & Transition Phrases,"Essential connectors for coherent writing and speaking. Furthermore, nevertheless, consequently, whereas."
33,Synonyms & Antonyms for Word Choice,"Expand your lexical range by learning synonyms and antonyms of common words. Happy/joyful/sad, big/large/small."